Data;Area desmatada;uf;municipio
02/08/2022;3.09;MT;Juara
16/08/2022;0.1;PA;Conceiçao do Araguaia
24/09/2022;0.2;MT;Peixoto de Azevedo
29/08/2016;0.44;AM;Novo Aripuana
24/08/2019;0.13;PA;Novo Progresso
22/09/2021;0.35;PA;Trairao
14/01/2018;0.1;PA;obidos
14/01/2018;0.12;PA;obidos
14/01/2018;0.1;PA;Porto de Moz
14/01/2018;0.08;PA;Itaituba
03/08/2019;0.28;RO;Alto Paraiso
06/08/2021;1.12;MT;Nova Bandeirantes
24/09/2022;1.7;MT;Peixoto de Azevedo
29/08/2020;0.14;AC;Assis Brasil
29/08/2016;0.19;AM;Novo Aripuana
22/09/2021;0.11;PA;Trairao
14/01/2018;0.21;PA;obidos
14/01/2018;0.09;PA;obidos
14/01/2018;0.15;PA;obidos
03/10/2021;0.11;MT;Colniza
14/01/2018;0.26;PA;obidos
14/01/2018;0.09;PA;Porto de Moz
24/09/2022;0.14;MT;Matupa
14/01/2018;0.1;PA;Porto de Moz
03/10/2021;0.19;MT;Nova Bandeirantes
29/08/2020;0.15;AC;Tarauaca
22/09/2021;0.4;AM;Apui
29/08/2016;0.15;AM;Novo Aripuana
24/08/2019;0.11;PA;Altamira
14/01/2018;0.23;PA;Brasil Novo
14/01/2018;0.11;PA;Itaituba
03/10/2021;0.3;MT;Juara
03/10/2021;0.14;MT;Juara
14/01/2018;0.08;PA;Prainha
14/01/2018;0.11;PA;Prainha
24/09/2022;0.24;MT;Matupa
23/08/2020;0.11;AC;Cruzeiro do Sul
17/01/2018;0.07;PA;Santarem
29/08/2016;0.45;AM;Novo Aripuana
22/09/2021;0.11;PA;Aveiro
24/08/2019;0.18;PA;Novo Progresso
23/08/2020;0.11;AC;Porto Walter
17/01/2018;0.11;PA;Trairao
17/01/2018;0.08;PA;Placas
03/10/2021;0.07;MT;Brasnorte
23/08/2020;0.08;AC;Tarauaca
17/01/2018;0.08;PA;Placas
24/09/2022;3.28;MT;Matupa
17/01/2018;0.69;PA;Itaituba
29/08/2020;0.1;AC;Tarauaca
22/09/2021;0.34;AM;Apui
29/08/2016;0.7;AM;Novo Aripuana
24/08/2019;0.16;PA;Itaituba
17/01/2018;0.07;PA;Itaituba
17/01/2018;0.1;PA;Placas
17/01/2018;0.14;PA;Alenquer
23/08/2020;0.07;AC;Tarauaca
17/01/2018;0.11;PA;obidos
17/01/2018;0.17;PA;obidos
24/09/2022;0.4;MT;Matupa
17/01/2018;0.34;PA;Alenquer
29/08/2016;0.15;AM;Novo Aripuana
22/09/2021;0.19;PA;Trairao
03/10/2021;0.36;AM;Maues
17/01/2018;0.08;PA;Santarem
03/10/2021;0.27;MT;Colniza
11/01/2018;5.23;PA;Santarem
17/01/2018;0.08;PA;Alenquer
23/08/2020;0.13;AC;Tarauaca
17/01/2018;0.34;PA;Altamira
17/01/2018;4.79;PA;Brasil Novo
03/10/2021;0.15;MT;Aripuana
17/01/2018;0.14;PA;Santarem
24/09/2022;0.09;MT;Marcelandia
17/01/2018;0.06;PA;Novo Progresso
